,anomaly_index_end,anomaly_index_start,file_name,file_number,file_path,mnemonic,row_count,training_index_end,alpha,dataset,false_negatives,false_positives,method,precision_back,precision_flat,precision_front,precision_mid,recall_back,recall_flat,recall_front,recall_mid,total_anomalies,total_count,true_negatives,true_positives,condition
21,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,0.5,test_set,173.0,29139.0,sigma,0.009043322199511442,0.009030028083819398,0.009016733968127359,0.009023855815819524,0.009043322199511442,0.009030028083819398,0.009016733968127359,0.009023855815819524,29267.0,45001,15561.0,128.0,any
22,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,1.0,all,173.0,52471.0,sigma,0.005144789063648391,0.005144789063648391,0.005144789063648391,0.005144789063648391,0.005144789063648391,0.005144789063648391,0.005144789063648391,0.005144789063648391,52599.0,80001,27229.0,128.0,any
23,56900,56600,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,2,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,35000,1.0,test_set,173.0,29139.0,sigma,0.009073233959818535,0.009073233959818535,0.009073233959818535,0.009073233959818535,0.009073233959818535,0.009073233959818535,0.009073233959818535,0.009073233959818535,29267.0,45001,15561.0,128.0,any
24,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,0.5,all,0.0,79698.0,oneliner,0.5021986913898924,0.5018812735159189,0.5015638556419455,0.5031276721875,0.5021986913898924,0.5018812735159189,0.5015638556419455,0.5031276721875,79999.0,80000,1.0,301.0,
25,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,0.5,test_set,0.0,44699.0,oneliner,0.5017465043986676,0.5033444444444445,0.5049423844902212,0.5034929311783674,0.5017465043986676,0.5033444444444445,0.5049423844902212,0.5034929311783674,45000.0,45000,0.0,301.0,
26,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,1.0,all,0.0,79698.0,oneliner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79999.0,80000,1.0,301.0,
27,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,1.0,test_set,0.0,44699.0,oneliner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45000.0,45000,0.0,301.0,
28,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,0.5,all,13.0,52592.0,sigma,0.000927068053673106,0.000926087635421396,0.000925107217169686,0.0009252424365297375,0.000927068053673106,0.000926087635421396,0.000925107217169686,0.0009252424365297375,52880.0,80000,27107.0,288.0,all
29,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,0.5,test_set,13.0,29305.0,sigma,0.0016476062174300835,0.001645863796039551,0.0016441213746490183,0.0016443616895400939,0.0016476062174300835,0.001645863796039551,0.0016441213746490183,0.0016443616895400939,29593.0,45000,15394.0,288.0,all
30,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,1.0,all,13.0,52592.0,sigma,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,0.0009619653692467072,52880.0,80000,27107.0,288.0,all
31,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,1.0,test_set,13.0,29305.0,sigma,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,0.0017096265123619147,29593.0,45000,15394.0,288.0,all
32,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,0.5,all,13.0,52592.0,sigma,0.000927068053673106,0.000926087635421396,0.000925107217169686,0.0009252424365297375,0.000927068053673106,0.000926087635421396,0.000925107217169686,0.0009252424365297375,52880.0,80000,27107.0,288.0,any
33,46900,46600,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,3,/home/paulo/Documents/mba_tcc/data/0_raw/UCR_Anomaly_FullData/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,35000,0.5,test_set,13.0,29305.0,sigma,0.0016476062174300835,0.001645863796039551,0.0016441213746490183,0.0016443616895400939,0.0016476062174300835,0.001645863796039551,0.0016441213746490183,0.0016443616895400939,29593.0,45000,15394.0,288.0,any
